Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62232755,"Throne in the Dark (Villains & Virtues, #1)",A.K. Caggiano,"Caggiano, A.K.",,,,0,4.27,,Kindle Edition,459,2022,2022,,1/15/2023,to-read,to-read (#179),to-read,,,,0,0
58310153,"The High Mountain Court (The Five Crowns of Okrith, #1)",A.K. Mulford,"Mulford, A.K.",,,,0,3.74,AK Mulford,Kindle Edition,354,2021,2021,,11/7/2022,to-read,to-read (#141),to-read,,,,0,0
43263361,"Crown of Bones (Amassia, #1)",A.K. Wilder,"Wilder, A.K.",,1640634142,9781640634145,0,3.94,Entangled: Teen,Hardcover,400,2021,2021,,11/6/2022,to-read,to-read (#121),to-read,,,,0,0
38325332,"All the Stars and Teeth (All the Stars and Teeth, #1)",Adalyn  Grace,"Grace, Adalyn",,,,0,3.67,Imprint,Kindle Edition,380,2020,2020,,11/18/2021,to-read,to-read (#21),to-read,,,,0,0
44012880,"Fable (The World of the Narrows, #1)",Adrienne Young,"Young, Adrienne",,,,0,4.04,Wednesday Books,Hardcover,357,2020,2020,,11/8/2021,to-read,to-read (#13),to-read,,,,0,0
34726469,"Sky in the Deep (Sky and Sea, #1)",Adrienne Young,"Young, Adrienne",,1250168457,9781250168450,0,3.95,Wednesday Books,Hardcover,340,2018,2018,,10/16/2022,to-read,to-read (#98),to-read,,,,0,0
181133,And Then There Were None,Agatha Christie,"Christie, Agatha",,,,4,4.28,HarperCollins,Mass Market Paperback,250,2003,1939,3/23/2023,6/21/2022,"2023, owned","2023 (#8), owned (#69)",read,,,,1,0
21074405,"Five Little Pigs (Hercule Poirot, #25)",Agatha Christie,"Christie, Agatha",,,,3,4.03,Harper,Paperback,336,2013,1942,6/29/2022,6/22/2022,"2022, owned","2022 (#43), owned (#63)",read,,,,1,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,0007119313,9780007119318,0,4.2,HarperCollins,Paperback,274,2007,1934,,5/28/2022,to-read,to-read (#50),to-read,,,,0,0
91950,The Myth of Sisyphus,Albert Camus,"Camus, Albert",Justin Obrien,0141182008,9780141182001,0,4.18,Penguin Classics,Paperback,192,2013,1942,,4/28/2023,to-read,to-read (#211),to-read,,,,0,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,,,0,4.02,Vintage International,Paperback,159,1989,1942,,4/28/2023,to-read,to-read (#210),to-read,,,,0,0
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,1250304458,9781250304452,0,3.62,Celadon Books,Hardcover,337,2021,2021,,10/11/2022,to-read,to-read (#93),to-read,,,,0,0
45360527,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,1409181634,9781409181637,3,4.18,Orion Publishing Group,Paperback,342,2020,2019,4/21/2023,5/15/2022,"2023, owned","2023 (#12), owned (#71)",read,,,,1,0
53375824,Lore,Alexandra Bracken,"Bracken, Alexandra",,1484778200,9781484778203,0,3.77,Disney Hyperion,Hardcover,480,2021,2021,,3/28/2022,to-read,to-read (#36),to-read,,,,0,0
34499221,"To Kill a Kingdom (Hundred Kingdoms, #1)",Alexandra Christo,"Christo, Alexandra",,1250112680,9781250112682,0,3.75,Feiwel & Friends,Hardcover,344,2018,2018,,11/8/2021,to-read,to-read (#11),to-read,,,,0,0
