Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Read Count,Series
44414927,Fortuna Sworn ,K.J. Sutton,"Sutton, K.J.",,0578489678,9780578489674.0,0,3.61,"Once Upon a Time Books, LLC",Paperback,314,2019.0,2019.0,,11/23/2022,to-read,to-read (#168),to-read,,0,"Fortuna Sworn, #1"
32887579,One of Us Is Lying ,Karen M. McManus,"McManus, Karen M.",,0141375639,9780141375632.0,3,3.95,Puffin,Paperback,360,2017.0,2017.0,8/7/2022,3/14/2022,"2022, owned","2022 (#60), owned (#64)",read,,1,"One of Us Is Lying, #1"
30256248,By Your Side,Kasie West,"West, Kasie",,0062455869,9780062455864.0,2,3.86,HarperTeen,Paperback,346,2017.0,2017.0,,7/12/2017,2017,2017 (#56),read,,1,
36127456,Listen to Your Heart,Kasie West,"West, Kasie",,133821005X,9781338210057.0,0,3.84,Point,Hardcover,336,2018.0,2018.0,,1/22/2018,2018,2018 (#16),read,,1,
35068742,"Love, Life, and the List ",Kasie West,"West, Kasie",,0062675788,9780062675781.0,4,3.8,HarperTeen,ebook,400,2017.0,2017.0,2/14/2018,2/13/2018,2018,2018 (#6),read,,1,"Love, Life, and the List, #1"
18298225,On the Fence ,Kasie West,"West, Kasie",,0062235672,9780062235671.0,1,4.02,HarperTeen,Paperback,295,2014.0,2014.0,8/25/2017,7/12/2017,2017,2017 (#45),read,,1,"Old Town Shops, #2"
25486998,P.S. I Like You,Kasie West,"West, Kasie",,0545850975,9780545850971.0,3,4.04,Point,Hardcover,329,2016.0,2016.0,1/29/2017,1/29/2017,2017,2017 (#19),read,,1,
15283043,The Distance Between Us ,Kasie West,"West, Kasie",,0062235656,9780062235657.0,3,3.91,HarperTeen,Paperback,312,2013.0,2013.0,,8/7/2017,2017,2017 (#57),read,,1,"Old Town Shops, #1"
18660447,The Fill-In Boyfriend,Kasie West,"West, Kasie",,006233638X,9780062336385.0,2,3.9,HarperTeen,Paperback,352,2015.0,2015.0,8/25/2017,7/12/2017,2017,2017 (#46),read,,1,
53312623,Exodus ,Kate  Stewart,"Stewart, Kate",,,9798672214306.0,3,4.42,Independently published,Paperback,450,2020.0,2020.0,2/10/2022,2/5/2022,2022,2022 (#18),read,,1,"The Ravenhood, #2"
40748777,Flock ,Kate  Stewart,"Stewart, Kate",,,9798666886403.0,2,4.14,Independently published,Paperback,354,2020.0,2020.0,2/5/2022,1/31/2022,2022,2022 (#15),read,"2 stars. This was a very plotless book, the truly felt very directionless and aimless. Cecelia was........... she reminds of the girl in the kingdom of the wicked book, but worse, like infinitely worse. I'm still trying to figure out why they love her so much apart from her looks obviously since that's all they ever talk about. But I do like the boys both Sean and Dominic, they made the book ar more intriguing than it was. The ending was interesting enough that I will definitely keep reading the book. Since the second book is the popular one, I'll judge the series after I finish it.",1,"The Ravenhood, #1"
60784373,What Lies in the Woods,Kate Alice Marshall,"Marshall, Kate Alice",,1250859883,9781250859884.0,0,3.97,Flatiron Books,Hardcover,322,2023.0,2023.0,,4/28/2023,to-read,to-read (#216),to-read,,0,
44890081,My Dark Vanessa,Kate Elizabeth Russell,"Russell, Kate Elizabeth",,006294150X,9780062941503.0,0,4.09,William Morrow,Hardcover,373,2020.0,2020.0,,10/6/2022,to-read,to-read (#86),to-read,,0,
25489134,The Bear and the Nightingale ,Katherine Arden,"Arden, Katherine",,1101885939,9781101885932.0,0,4.1,Del Rey,Hardcover,319,2017.0,2017.0,,7/16/2022,to-read,to-read (#68),to-read,,0,"The Winternight Trilogy, #1"
54995584,The Contortionist ,Kathryn Ann Kingsley,"Kingsley, Kathryn Ann",,,,0,4.02,Kathryn Ann Kingsley,Kindle Edition,280,2020.0,2020.0,,11/11/2022,to-read,to-read (#153),to-read,,0,"Harrow Faire, #1"
60042507,The Unseelie Prince ,Kathryn Ann Kingsley,"Kingsley, Kathryn Ann",,,,0,3.78,,Kindle Edition,338,2021.0,2021.0,,11/11/2022,to-read,to-read (#152),to-read,,0,"Maze of Shadows, #1"
10194514,Pushing the Limits ,Katie McGarry,"McGarry, Katie",,0373210493,9780373210497.0,3,4.05,Harlequin Teen,Hardcover,392,2012.0,2012.0,,1/20/2018,2017,2017 (#55),read,,1,"Pushing the Limits, #1"
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,059331817X,9780593318171.0,0,3.75,Alfred A. Knopf,Hardcover,303,2021.0,2021.0,,1/26/2023,to-read,to-read (#188),to-read,,0,
2800905,The Summoning ,Kelley Armstrong,"Armstrong, Kelley",,0061662690,9780061662690.0,1,4.02,HarperCollins,Hardcover,390,2008.0,2008.0,9/16/2016,4/23/2016,2016,2016 (#11),read,,1,"Darkest Powers, #1"
52772417,Kingdom of the Cursed ,Kerri Maniscalco,"Maniscalco, Kerri",,1529350506,9781529350500.0,2,4.15,Hodder & Stoughton,Hardcover,437,2021.0,2021.0,12/25/2021,12/18/2021,2021,2021 (#34),read,"It’s more of a 3.5 ⭐️ book. <br/>Wrath saved the book, and the ending was well very unexpected. All the side characters were so interesting and  I wished we got to see them more, especially Anir. He was the best",1,"Kingdom of the Wicked, #2"
52735921,Kingdom of the Wicked ,Kerri Maniscalco,"Maniscalco, Kerri",,0316428469,9780316428460.0,3,3.91,Jimmy Patterson Books,Hardcover,372,2020.0,2020.0,12/18/2021,11/8/2021,2021,2021 (#32),read,,1,"Kingdom of the Wicked, #1"
40727470,Stalking Jack the Ripper ,Kerri Maniscalco,"Maniscalco, Kerri",,,,2,3.96,Jimmy Patterson,Kindle Edition,337,2016.0,2016.0,10/27/2021,10/17/2021,2021,2021 (#19),read,,1,"Stalking Jack the Ripper, #1"
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,1594489505,9781594489501.0,0,4.43,Riverhead Books,Hardcover,372,2007.0,2007.0,,1/26/2023,"to-read, owned","to-read (#187), owned (#84)",to-read,,0,
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,,,0,4.34,Riverhead Books,Paperback,371,2004.0,2003.0,,10/11/2022,"to-read, owned","to-read (#94), owned (#94)",to-read,,0,
26074181,The Crown ,Kiera Cass,"Cass, Kiera",,0062392174,9780062392176.0,1,3.63,HarperTeen,Hardcover,278,2016.0,2016.0,7/11/2016,4/23/2016,"2016, owned","2016 (#31), owned (#25)",read,,1,"The Selection, #5"
16248068,The Elite ,Kiera Cass,"Cass, Kiera",,0062059963,9780062059963.0,5,3.95,HarperTeen,Hardcover,336,2013.0,2013.0,,4/23/2016,2016,2016 (#28),read,,1,"The Selection, #2"
22918050,The Heir ,Kiera Cass,"Cass, Kiera",,,,1,3.65,HarperTeen,Kindle Edition,342,2015.0,2015.0,,4/23/2016,,,read,,1,"The Selection, #4"
18635016,The One ,Kiera Cass,"Cass, Kiera",,0062059998,9780062059994.0,5,4.16,HarperTeen,Hardcover,323,2014.0,2014.0,,4/23/2016,2016,2016 (#29),read,,1,"The Selection, #3"
15820748,The Prince ,Kiera Cass,"Cass, Kiera",,0062248162,9780062248169.0,3,3.9,HarperTeen,ebook,64,2013.0,2013.0,,4/23/2016,2016,2016 (#30),read,,1,"The Selection, #0.5"
10507293,The Selection ,Kiera Cass,"Cass, Kiera",,0062059939,9780062059932.0,4,4.09,HarperTeen,Hardcover,336,2012.0,2012.0,,4/23/2016,"2016, owned","2016 (#8), owned (#19)",read,,1,"The Selection, #1"
25817407,The Siren,Kiera Cass,"Cass, Kiera",,0062391992,9780062391995.0,2,3.7,HarperTeen,Hardcover,327,2016.0,2009.0,8/7/2016,4/23/2016,"2016, owned","2016 (#3), owned (#58)",read,,1,
43568394,The Guinevere Deception ,Kiersten White,"White, Kiersten",,0525581685,9780525581680.0,0,3.76,Delacorte Press,Library Binding,352,2019.0,2019.0,,11/19/2022,to-read,to-read (#166),to-read,,0,"Camelot Rising, #1"
52692515,There's No Such Thing as an Easy Job,Kikuko Tsumura,"Tsumura, Kikuko",Polly Barton,1526622246,9781526622242.0,0,3.61,Bloomsbury Publishing,Paperback,416,2020.0,2015.0,,2/19/2023,dnf,dnf (#7),dnf,,0,
6931356,The DUFF: Designated Ugly Fat Friend ,Kody Keplinger,"Keplinger, Kody",,0316084239,9780316084239.0,2,3.8,Little Brown/Poppy,Hardcover,280,2010.0,2010.0,,4/23/2016,,,read,,1,"Hamilton High, #1"
